municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Isabela,A,A,A,A,A,A,A,A,A,A,A,B,B
Aguadilla,C,B,B,B,B,B,D,D,D,C,D,C,D
Arecibo,F,D,F,D,C,D,F,,,,F,C,C
Hatillo,B,B,C,C,A,A,A,A,B,B,A,A,A
Quebradillas,C,B,B,A,A,B,A,C,A,B,B,B,B
Camuy,C,C,C,B,C,C,C,C,C,D,D,C,
Barceloneta,D,F,D,D,D,D,D,B,B,C,B,B,B
Vega Baja,D,D,C,D,C,F,D,C,D,D,C,C,C
Vega Alta,B,B,B,B,B,B,D,C,C,C,B,A,A
Manatí,C,D,C,C,C,C,C,B,B,B,C,B,C
Dorado,C,F,B,C,B,C,B,D,D,C,D,B,B
San Juan,C,D,D,C,D,C,D,F,F,C,D,C,C
Toa Baja,F,F,F,D,F,F,,D,F,D,D,D,D
Cataño,C,C,D,C,C,C,B,B,C,C,C,B,C
Moca,C,C,C,C,C,D,C,,C,C,C,D,C
Loíza,D,C,D,C,F,F,,,D,F,F,D,
Carolina,B,C,C,C,C,C,C,D,D,C,D,B,C
Guaynabo,C,C,C,C,C,C,C,D,D,C,C,C,C
Bayamón,C,C,C,C,B,B,B,D,C,C,C,B,B
Río Grande,D,D,D,C,C,C,C,C,C,F,D,D,B
Aguada,B,C,B,B,B,B,B,C,C,C,C,B,B
Canóvanas,C,B,,C,C,F,,C,B,D,D,C,C
Florida,C,B,D,C,C,C,C,D,C,D,D,C,F
Toa Alta,F,C,C,D,C,D,D,,C,D,C,C,C
San Sebastián,C,C,B,A,C,C,C,B,B,B,A,A,A
Fajardo,A,A,A,A,A,A,A,A,A,A,A,A,A
Luquillo,B,B,B,B,B,C,C,D,C,D,C,D,C
Trujillo Alto,C,C,D,D,D,D,C,C,D,C,D,D,D
Morovis,D,D,C,C,D,D,B,,B,B,,,
Rincón,B,B,B,B,A,A,A,B,A,C,B,B,B
Ciales,D,F,D,D,D,F,F,D,D,C,D,D,F
Corozal,C,C,B,B,B,C,C,C,C,C,C,,C
Lares,C,B,C,B,B,C,B,,A,B,,B,A
Culebra,B,B,A,A,A,A,A,,,A,A,A,A
Utuado,B,A,B,C,B,B,B,B,B,B,C,B,C
Naranjito,B,B,B,A,C,C,C,D,C,C,D,F,C
Añasco,B,C,C,C,C,B,C,C,B,,F,,C
Caguas,D,D,C,C,D,D,D,D,D,D,D,D,D
Gurabo,D,D,F,D,F,A,F,C,D,F,F,F,D
Aguas Buenas,C,C,C,C,B,C,C,C,C,A,C,C,B
Jayuya,C,C,C,C,C,D,B,C,B,B,D,C,D
Ceiba,A,A,A,B,C,,,C,D,F,D,F,F
Naguabo,B,B,A,B,C,B,B,B,C,A,A,C,B
Orocovis,C,B,B,C,C,B,C,C,B,A,A,B,A
Las Marías,C,C,C,D,B,B,B,,F,D,F,F,D
Comerío,A,C,C,B,B,B,C,B,B,B,B,D,B
Las Piedras,D,C,C,F,F,C,C,D,D,C,D,C,C
Mayagüez,D,C,C,C,D,D,C,D,F,D,D,C,C
Juncos,C,D,C,F,D,D,B,B,C,C,D,C,D
Adjuntas,C,B,C,B,A,C,C,,B,B,C,C,D
Barranquitas,B,A,A,A,A,A,B,A,A,A,B,A,B
Cidra,C,C,C,C,C,C,,C,,C,C,C,B
San Lorenzo,C,C,D,D,D,D,C,,D,F,D,D,C
Maricao,F,C,D,D,F,B,C,F,C,,,F,F
Humacao,A,A,B,B,B,A,B,B,B,B,B,A,C
Aibonito,A,B,A,B,B,A,A,A,B,A,A,A,B
Villalba,D,C,D,C,D,,,,F,D,F,F,
Coamo,C,C,C,B,C,C,B,B,C,D,C,C,C
San Germán,B,C,B,C,C,D,C,D,D,C,D,D,D
Ponce,D,D,D,F,F,F,F,F,F,D,D,D,D
Yauco,D,F,F,D,D,F,,F,F,F,F,D,C
Cayey,A,A,B,B,B,A,A,A,A,C,B,A,B
Cabo Rojo,A,C,C,D,D,F,F,F,F,F,C,D,C
Vieques,D,F,C,C,C,C,D,,,,D,D,D
Hormigueros,C,C,C,C,C,B,C,D,C,D,C,C,D
Juana Díaz,C,D,C,C,C,C,C,C,C,C,C,C,C
Sabana Grande,C,C,C,C,C,C,D,D,C,C,D,C,C
Guayanilla,F,D,C,F,C,C,C,D,D,F,F,D,F
Peñuelas,B,A,A,A,C,B,B,F,C,C,C,D,D
Yabucoa,C,C,D,F,C,C,D,D,D,C,D,F,F
Patillas,F,D,F,F,D,F,D,F,D,F,F,F,D
Guayama,B,B,C,D,B,B,F,F,D,D,C,B,B
Salinas,F,F,F,C,C,F,F,F,C,C,D,D,F
Lajas,D,D,D,C,F,D,,F,D,F,F,D,D
Maunabo,F,F,D,F,D,D,F,F,,,,F,F
Santa Isabel,B,D,F,D,D,,,,,,,F,F
Arroyo,C,C,D,D,D,C,D,D,D,C,D,D,D
Guánica,D,D,F,F,F,D,,,D,,,,
